budget_allocated,budget_spent,workforce_count,equipment_count,material_cost,completion_percentage,weather_delay_days,safety_incidents,inspection_score,task_completion_rate,daily_progress_rate,resource_availability,workforce_attendance,supply_delay_days,rainfall_mm,project_type,state,duration_days,delayed,budget_overrun_pct,risk_level,actual_completion_days
663394184.82,315364321.79,117,17,272189467.82,49.6,1,2,42.52,0.4664,1.3388,0.7749,0.7675,4,28.26,Pipeline,Lagos,1040,0,4.88,medium,1071
467400786.65,204293068.81,317,26,241324286.66,36.63,2,1,62.09,0.8278,1.1429,0.6593,0.8004,4,7.72,PowerPlant,Oyo,651,0,10.15,medium,661
85135340.2,56054457.78,15,15,22721854.61,51.52,6,1,87.25,0.7053,2.0167,0.7298,0.8784,5,105.07,Building,Rivers,677,1,23.08,high,746
880167356.64,826458376.92,190,25,293284397.94,100.0,1,1,70.11,0.3824,0.316,0.8531,0.7223,5,23.98,Road,Abia,687,0,4.9,medium,694
865094571.95,550680352.85,227,16,230904683.83,41.49,13,1,75.11,0.471,1.6419,0.5284,0.8335,8,300.0,Railway,Lagos,644,1,38.76,high,692
619233034.79,435109235.34,229,41,273582360.72,56.37,3,1,74.44,0.9631,1.4397,0.4359,0.9761,3,93.67,Railway,Delta,156,0,15.34,high,144
334265520.45,119366550.43,309,19,137442970.79,35.2,2,0,100.0,0.7309,0.5185,0.7855,0.7815,3,25.57,Railway,Oyo,627,0,0.0,low,633
145911647.87,72188510.29,180,7,57539327.16,51.58,1,0,73.47,0.6137,2.9788,0.7449,0.7836,1,6.83,Railway,FCT,238,0,10.41,medium,231
509390420.98,124283620.71,67,22,208740645.32,25.88,1,1,62.27,0.6339,0.6764,0.9562,0.8682,3,28.42,Bridge,Enugu,375,0,6.12,medium,381
168358280.41,115792969.97,113,29,42470111.83,62.64,3,0,64.59,0.6184,0.3929,0.8316,0.7945,4,26.76,Building,FCT,569,0,8.66,medium,604
924476987.53,576547214.68,100,32,378066719.43,57.31,1,0,83.85,0.5151,2.0114,0.9996,0.9784,5,2.28,Pipeline,Kaduna,197,0,0.0,low,233
191627976.3,77581348.02,564,13,51729757.62,40.87,2,1,77.86,0.7768,2.6641,0.7752,0.7379,3,73.76,Dam,FCT,554,0,2.85,medium,557
326580549.17,205560859.48,227,31,170455985.23,56.95,7,0,61.38,0.6527,1.6296,0.7913,0.9047,4,224.85,PowerPlant,Lagos,123,0,2.99,medium,142
527532139.41,346921291.01,264,4,265842271.36,73.4,2,0,68.76,0.6507,0.617,0.6117,0.6555,6,79.8,Building,Oyo,679,0,0.0,medium,694
39205575.16,17408087.0,373,23,17995172.66,46.26,1,0,74.6,0.5141,1.7537,0.7278,0.8894,7,13.24,Road,Lagos,490,0,1.02,medium,507
326864726.2,140858712.16,358,23,103740799.74,45.39,1,1,58.49,0.4762,1.2808,0.5776,0.8317,6,4.85,Bridge,Kaduna,843,0,9.11,high,841
57560090.39,43421392.58,278,5,27781854.51,85.6,2,1,88.66,0.7884,0.0,0.5229,0.7022,3,46.49,Bridge,Lagos,893,0,0.0,medium,889
87541397.59,9751115.7,293,34,43688931.57,10.56,1,2,91.76,0.4932,0.5943,0.4862,0.9565,1,16.06,Road,Edo,644,0,8.4,medium,655
1259861963.09,363612922.99,103,52,499194298.66,28.21,2,1,73.37,0.5228,1.5202,0.7439,0.7616,4,66.45,Dam,Rivers,744,0,0.68,medium,778
34196533.64,24262134.71,506,49,14677970.58,66.27,3,0,91.99,0.3618,2.2115,0.7925,0.7074,4,9.64,PowerPlant,Oyo,388,0,0.46,low,406
505288378.54,518682280.25,237,8,131049037.36,100.0,1,0,79.29,0.5071,0.1847,0.7452,0.7465,4,3.17,Building,Enugu,363,0,2.65,medium,383
128036015.82,84304119.92,81,45,49140444.62,53.75,4,0,74.13,0.7673,0.3317,0.7801,0.8008,7,103.16,Bridge,Oyo,566,0,8.1,medium,602
425986824.15,225891517.69,40,34,135890926.27,51.32,4,1,59.49,0.7484,2.4223,0.8415,0.8083,5,154.82,PowerPlant,Rivers,720,0,3.96,medium,757
838437582.41,253320439.96,248,42,269669315.45,26.88,1,1,68.4,0.5902,0.7562,0.4493,0.6593,2,33.86,PowerPlant,Delta,1037,1,22.22,high,1090
412126725.13,38214068.96,91,11,126082538.41,7.56,4,1,64.35,0.6565,2.3512,0.6035,0.8271,7,7.15,Pipeline,Rivers,220,1,31.94,high,288
778190485.14,800263858.89,267,22,214855301.95,83.28,2,0,51.02,0.617,0.3941,0.8173,0.6739,3,12.03,Road,FCT,658,1,17.23,high,689
887486911.69,518181814.09,445,45,410470589.09,63.86,3,0,78.03,0.4959,2.086,0.6966,0.7947,5,79.79,Railway,Edo,378,0,7.33,medium,400
463544063.57,105158661.37,259,22,224333826.92,21.26,5,0,75.2,0.8133,1.0789,0.7446,0.8209,5,77.93,Road,Delta,135,0,2.98,medium,172
762908480.77,592267653.54,227,6,378748878.58,66.18,0,1,85.64,0.7035,1.0344,0.7325,0.8966,3,4.37,PowerPlant,Kano,121,0,2.99,low,149
695561636.74,392382703.86,168,55,259305518.61,59.05,0,2,69.11,0.45,1.6816,0.768,0.8257,6,11.98,PowerPlant,Oyo,215,0,7.92,medium,241
263724250.23,191641715.59,59,36,87213087.73,61.91,2,0,64.38,0.7614,2.1966,1.0,0.7304,2,60.74,Dam,Delta,233,0,2.42,low,247
418436796.9,463614489.91,490,6,171673178.45,74.65,4,0,66.35,0.6579,2.2601,0.7693,0.7933,5,5.83,Railway,Kano,718,1,30.86,high,780
765507854.8,0.0,343,44,301817661.81,0.0,2,0,92.23,0.7111,1.0318,0.8,0.8175,4,53.98,PowerPlant,Enugu,510,0,3.25,low,508
1064854335.82,324204366.64,421,25,376724696.97,30.8,3,1,53.26,0.6923,3.0014,0.7946,0.6546,7,103.35,PowerPlant,Lagos,965,0,6.95,medium,976
629904699.85,88750254.95,372,19,232884450.04,14.72,2,0,92.6,1.0,2.6301,0.9931,0.721,4,50.53,PowerPlant,Delta,626,0,0.0,low,657
820170247.93,488262206.32,141,9,271414743.71,59.7,5,0,72.58,0.7849,0.85,0.6376,0.7809,5,193.09,Dam,Edo,120,1,11.8,high,153
409407159.09,233601931.63,70,23,121532168.59,53.95,6,2,81.66,0.7312,0.4248,0.8136,0.7283,2,211.52,Building,Abia,250,0,10.8,high,271
1166384898.21,1263247704.09,426,7,392611780.24,94.42,6,0,75.63,0.8609,0.7717,0.8571,0.6465,7,144.9,PowerPlant,Delta,638,0,11.48,medium,649
538884946.84,0.0,341,40,215625969.85,0.0,5,0,79.47,0.804,1.4467,0.4917,0.7971,4,103.31,Railway,Abia,991,1,29.48,high,1011
707286594.18,542365817.22,127,28,218104196.68,64.38,3,2,76.68,0.5227,0.512,0.6196,0.9359,4,74.04,PowerPlant,Delta,177,1,21.87,high,240
545822870.58,347045841.1,23,39,220814034.74,69.07,2,1,87.9,0.7256,1.7376,0.8698,0.6887,5,72.81,Dam,Edo,963,0,0.0,low,976
161957655.59,66321005.43,114,10,71486204.23,35.44,0,0,80.81,0.8077,0.3183,0.9592,0.7387,4,4.82,Pipeline,Lagos,356,0,6.8,low,379
472813545.46,63620912.49,220,38,180956609.55,12.77,1,0,77.92,0.3501,2.1723,0.53,0.7611,4,8.7,Dam,Rivers,1056,1,20.2,high,1109
206407350.18,131153742.32,248,46,51678415.48,57.65,4,1,43.97,0.5032,1.0006,0.8411,0.8564,2,12.76,PowerPlant,Delta,599,0,6.74,medium,594
255355255.61,117040006.86,169,5,135615945.22,43.38,1,4,49.97,0.5287,1.8064,0.6586,0.8966,8,7.59,Pipeline,Kano,1070,0,10.77,high,1093
141233826.04,0.0,370,20,60995483.1,0.0,1,1,64.2,0.6316,1.8238,0.7279,0.833,3,27.93,Road,FCT,712,0,5.55,medium,736
484223362.24,164513094.55,115,24,230623996.73,29.19,2,1,54.05,0.4881,2.1057,0.7968,0.6878,4,67.53,Bridge,Rivers,817,0,5.4,medium,849
414837501.02,208113125.99,467,41,199450331.13,49.13,2,0,71.64,0.4411,1.2605,0.513,0.7983,3,78.78,PowerPlant,Rivers,580,0,16.1,high,575
557802699.26,386406959.76,250,29,270815978.95,72.39,2,1,63.97,0.6698,2.2319,0.7076,0.8721,3,46.61,Dam,FCT,831,0,6.92,medium,846
48163155.96,44105137.25,319,5,13070373.66,86.71,1,1,62.37,0.7293,2.439,0.7596,0.7092,4,24.62,Pipeline,Edo,868,0,2.08,low,891
50081449.47,31180184.14,258,10,27243862.73,54.14,4,0,89.47,0.7243,2.8394,0.5737,0.5834,3,82.72,Building,Enugu,739,0,3.04,medium,741
828915248.25,210246704.12,291,34,262201651.89,23.68,0,1,56.48,0.5436,1.5873,0.6357,0.8073,5,3.32,Railway,Enugu,242,1,21.49,high,263
795348915.71,180596775.23,289,3,257695959.15,19.02,4,0,69.49,0.359,0.7196,0.8875,0.719,5,160.98,Dam,Delta,460,0,3.89,medium,471
1106554767.45,897757296.08,248,26,507560564.76,76.78,1,0,86.0,0.9136,0.9416,0.9359,0.9806,3,5.37,Dam,Abia,167,0,5.72,low,156
701827729.8,562519116.14,235,20,206502814.07,93.21,0,0,63.4,0.9592,0.0,0.8806,0.7496,9,5.1,Pipeline,Abia,114,0,0.24,low,148
428952841.05,331154598.17,414,13,162528963.41,71.79,1,0,78.16,0.782,0.9738,0.7161,0.9572,2,15.32,Pipeline,Kaduna,750,0,0.0,low,792
76547737.91,44354362.74,150,14,39948455.91,52.45,3,0,61.92,0.6645,0.6617,0.3806,0.8684,4,99.72,Railway,Edo,824,1,19.05,high,897
372977559.72,233263238.1,186,15,202005242.69,69.41,0,0,52.62,0.6972,2.3318,0.8625,1.0,3,6.06,Building,Oyo,550,0,3.04,low,564
950078061.29,270907043.0,299,21,354882337.56,23.31,1,0,79.43,0.5331,3.046,0.632,0.8402,3,3.21,Pipeline,Oyo,973,0,9.89,medium,1010
603323657.63,205263358.42,275,27,167872136.84,29.58,3,0,56.6,0.5736,0.6625,0.53,0.7537,5,49.55,Bridge,Delta,991,1,26.59,high,1037
591457004.33,404315557.0,376,23,307058394.75,58.49,0,0,72.33,0.6184,0.3735,0.7676,0.7258,7,13.67,Dam,Kano,1074,0,1.71,medium,1098
553936564.33,467403480.39,350,42,151680004.29,77.8,4,0,62.34,0.5303,1.8772,0.4229,0.7192,6,97.66,Bridge,Oyo,232,1,17.64,high,267
896849675.0,655524193.03,355,21,450608008.11,71.77,1,0,76.84,0.5283,1.3806,0.7597,0.7541,4,40.22,PowerPlant,FCT,303,0,8.16,medium,290
684523562.18,354724924.5,385,34,333044125.74,48.22,4,0,57.45,0.6655,2.0674,0.875,0.768,4,118.86,Pipeline,Oyo,1012,0,0.24,low,1013
880328722.05,704843708.97,284,33,479373857.2,64.79,4,0,84.04,0.314,3.0455,0.7032,0.7581,4,118.74,Road,Rivers,971,1,11.01,high,1005
1080802546.44,592399081.88,285,44,362703393.86,46.92,5,0,52.49,0.4183,1.0033,0.9611,0.7716,4,155.67,Railway,Delta,537,0,2.97,medium,569
560324211.15,46754611.09,126,38,303264195.45,7.07,4,1,61.25,0.1697,0.6553,0.7349,0.733,5,9.61,Bridge,Kano,683,1,18.97,high,730
155502593.39,85663899.01,56,14,76316894.72,50.6,3,0,77.76,0.8137,3.5847,0.5959,0.8069,2,27.79,Road,Lagos,486,1,16.77,high,526
1185386187.98,382750400.39,373,20,589299469.97,31.8,2,0,73.74,0.5795,0.9082,0.933,0.7309,4,81.22,Dam,Edo,686,0,5.93,medium,672
612273370.55,601949091.8,281,23,175212755.03,86.05,1,0,58.28,0.774,1.4868,0.7424,0.6772,4,1.41,Building,Rivers,366,0,8.62,medium,369
250662833.12,234443932.16,190,24,70100890.62,87.14,1,0,68.73,0.6986,1.3401,0.7519,0.5684,4,19.97,Building,FCT,195,0,5.45,medium,191
188860657.23,129349981.49,175,5,52841448.09,54.37,1,0,50.79,0.6226,0.2392,0.6535,0.5513,5,18.79,Building,Oyo,867,1,10.37,high,940
377430162.2,276908982.03,110,33,134688102.52,73.94,1,0,78.51,0.7479,2.079,0.7654,0.7442,5,15.6,Road,Lagos,824,0,0.38,low,818
734804313.73,412246465.96,72,26,315771995.53,50.81,1,0,64.86,0.4563,0.0,0.6694,0.9768,2,3.1,Pipeline,Lagos,615,0,10.71,medium,633
461841855.31,128408965.56,503,27,176902403.69,26.2,5,0,90.21,0.4216,2.7563,0.5261,0.8763,3,164.29,PowerPlant,Delta,966,1,23.51,high,1012
437197786.47,96964751.99,159,13,234877692.99,25.31,0,2,83.44,0.6152,1.8105,0.8176,0.8982,4,17.45,Railway,Oyo,440,0,0.75,low,432
31197998.15,11891926.67,524,41,8856471.89,40.43,1,0,66.32,0.6307,1.9026,0.6095,0.7329,5,26.02,Dam,FCT,305,0,9.62,high,314
181157067.72,119485189.63,348,19,89931730.21,72.74,1,2,96.63,0.7201,2.0545,0.579,0.7968,2,18.68,Road,Kaduna,876,0,0.0,low,903
965384160.68,301703023.14,253,19,513714267.58,32.96,3,1,69.97,0.5454,1.5197,0.8233,0.7911,8,20.81,Railway,Kaduna,769,0,6.67,medium,810
411818064.03,144547289.73,399,5,164550654.44,32.59,1,0,83.8,0.9119,1.153,0.6799,0.8127,3,32.31,Road,Oyo,890,0,3.12,medium,920
422835863.67,150400985.61,69,33,229336677.0,32.22,1,1,73.66,0.6737,1.1281,0.8603,0.8317,2,25.26,Pipeline,FCT,1043,0,3.86,medium,1030
540781497.16,474614841.22,22,23,291508142.89,93.37,2,0,96.21,0.6383,1.5731,0.6867,0.7992,4,9.34,Bridge,Kaduna,739,0,0.0,low,782
62337257.58,23359988.02,443,44,24149374.27,32.74,0,1,52.79,0.3932,0.7372,0.7229,0.8031,4,8.15,PowerPlant,Rivers,671,0,5.54,medium,665
542256082.51,316206088.04,301,13,191718793.03,66.37,3,0,69.19,0.6268,1.7731,0.6031,0.989,3,44.44,Pipeline,Edo,366,0,0.66,medium,399
126383884.76,79226122.21,184,27,49845805.79,67.46,5,0,75.62,0.6256,1.9504,0.7159,1.0,5,8.1,Building,Abia,305,0,2.93,medium,291
947503518.53,496268910.48,197,37,349213581.35,56.53,1,0,84.6,0.8661,1.1458,0.7849,0.8347,7,22.25,Railway,Kano,337,0,0.04,low,346
934423339.16,0.0,594,57,372276647.53,0.0,1,1,37.18,0.844,3.0003,0.7082,0.7128,2,55.5,Dam,Abia,1069,0,8.47,high,1056
49221525.1,28829360.04,98,41,16476591.65,49.66,2,1,73.27,0.3588,1.8675,0.6935,0.8722,4,57.38,Bridge,Delta,298,0,6.59,medium,288
1133847914.19,0.0,258,49,567771824.04,0.0,3,0,86.83,0.7442,0.5432,0.6494,0.7718,4,81.1,Dam,Abia,91,0,0.19,low,119
935965830.59,9167278.46,262,46,405169596.5,1.02,0,0,61.75,0.644,0.6612,0.6705,0.6762,5,3.35,Dam,Kaduna,1043,0,0.0,medium,1065
609809855.82,127598328.93,345,10,330349853.78,18.81,0,0,57.53,0.7355,1.2552,0.6615,0.8742,3,9.93,Bridge,Oyo,403,0,9.61,medium,416
388590381.92,321011067.49,507,3,179182885.32,88.83,1,1,71.28,0.6639,1.7638,0.9747,0.784,4,4.02,Dam,Kano,401,0,3.66,low,403
442787001.34,324548787.33,176,48,223697798.84,69.68,1,0,72.32,0.5998,1.4815,0.5482,0.7365,2,34.12,Railway,Rivers,425,1,20.19,high,480
206000097.23,101809754.98,471,38,96829526.64,51.08,2,0,75.17,0.6899,1.1117,0.7767,0.7758,5,61.53,Bridge,FCT,612,0,6.16,medium,602
556488831.56,436412143.04,309,27,254278475.64,71.59,3,0,75.43,0.9882,0.5466,0.6639,0.9671,2,10.39,Bridge,Abia,765,0,11.19,medium,785
206251797.47,209495763.38,98,7,79350310.13,90.86,1,1,56.45,0.7564,1.8057,0.5265,0.9341,5,41.97,Bridge,Kano,836,0,11.86,high,840
1070990585.75,324794072.67,171,27,500189387.1,30.66,2,1,72.19,0.4789,1.3306,0.7612,0.7566,3,47.5,Dam,Oyo,826,0,0.13,low,847
347509805.91,331320988.45,426,19,138326381.68,88.15,1,0,83.0,0.5443,0.8458,0.8037,0.7214,5,20.26,Bridge,FCT,627,0,8.17,medium,621
851500768.74,171593633.5,260,3,289777482.19,20.91,3,0,63.72,0.7177,1.4033,0.5441,0.8613,4,27.02,PowerPlant,FCT,380,0,9.12,high,383
611032339.05,575676535.99,451,7,312720693.43,78.93,4,0,66.09,0.5346,1.8555,0.8093,0.7513,5,116.0,Dam,Edo,506,1,20.75,high,522
370893359.11,342422309.58,163,20,140525031.93,100.0,3,0,79.43,0.8214,1.7286,0.8002,0.8149,4,37.95,Road,Oyo,334,0,2.57,low,335
665738216.99,168487805.38,227,23,274464894.09,27.43,1,0,85.03,0.698,2.2442,0.5904,0.8055,5,13.19,Railway,Edo,600,0,1.25,medium,610
736426938.36,680058324.83,172,35,233130777.68,84.03,4,0,79.62,0.5549,1.6859,0.7573,0.5991,5,105.14,Road,Lagos,105,0,5.23,medium,106
538540029.89,0.0,178,31,145389338.64,0.0,2,0,64.72,0.5111,1.569,0.5444,0.6329,5,32.95,Building,Edo,754,1,21.52,high,798
952280225.69,965186624.52,60,46,404827728.54,90.37,2,2,80.45,0.7175,2.0312,0.658,0.7321,4,64.98,Dam,FCT,247,0,7.87,high,260
365879881.51,387997280.23,95,27,186033130.31,100.0,2,0,76.79,0.9135,1.9245,0.7992,0.7739,3,34.24,Pipeline,Kaduna,920,0,6.04,medium,932
710793208.71,69115641.79,408,43,276112510.96,9.93,0,2,80.87,0.6322,2.0531,0.7824,0.8911,4,2.45,Railway,Kano,841,0,11.54,medium,874
124081688.65,112258466.1,154,33,61048130.75,80.55,0,0,59.8,0.6896,1.2047,0.9069,0.843,5,0.57,Pipeline,Kaduna,673,0,9.47,medium,717
553375524.34,275667928.68,230,14,237428847.18,50.1,6,1,76.41,0.9733,0.0,0.9936,0.7294,7,28.54,PowerPlant,Rivers,729,0,10.86,high,749
783702632.5,898289255.75,380,47,235830643.01,81.16,5,1,90.65,0.307,2.0832,0.4883,0.8339,5,127.48,PowerPlant,Edo,752,1,26.67,high,780
208842370.57,89382216.29,137,35,114690250.75,45.02,3,1,75.46,0.5001,1.4598,0.768,0.8108,2,43.79,Pipeline,Edo,191,0,2.15,low,187
945774981.14,291599411.93,426,20,315425928.93,34.39,0,0,64.65,0.7271,2.2415,0.9117,0.6661,2,5.34,Pipeline,Kano,173,0,0.0,low,187
612298189.02,158495703.98,184,19,153651498.58,20.91,5,0,73.4,0.6513,1.3192,0.6444,0.6708,5,29.15,PowerPlant,Oyo,780,1,21.64,high,834
546757843.79,340997471.0,283,17,220975036.85,44.5,5,1,72.52,0.7725,2.4757,0.6897,0.803,8,159.93,Road,Rivers,344,1,29.08,high,415
727479108.33,494728630.85,173,47,187377669.64,57.0,2,0,73.62,0.3712,0.0652,0.5353,0.7192,4,59.04,Bridge,Lagos,702,0,5.27,medium,742
38845449.49,29121351.09,399,35,18573069.63,58.8,5,1,94.65,0.5421,1.4956,0.5495,0.8454,5,164.16,PowerPlant,Enugu,1091,0,12.97,high,1123
210902856.21,57220180.51,233,37,110616388.34,27.08,0,1,82.57,0.8219,2.6448,0.7483,0.8015,4,8.92,Bridge,FCT,383,0,2.68,low,387
542196701.33,265340480.87,200,22,187201495.33,43.57,1,2,75.98,0.5113,1.8267,0.8588,0.8838,2,22.75,Building,Edo,1030,0,2.07,low,1027
121110954.87,65120026.03,85,23,40194909.07,40.29,1,0,64.27,0.5032,0.0,0.5361,0.8654,1,36.67,Building,Kano,448,1,20.56,high,508
319988531.94,57690260.23,276,44,170255095.57,15.96,3,0,84.22,0.3315,1.6329,0.8286,0.9172,3,103.73,Dam,Enugu,615,0,1.57,low,641
176886946.12,193848458.52,266,25,49764728.75,100.0,4,0,58.44,0.6962,3.3293,0.9323,0.8402,3,6.95,Building,Abia,1078,0,9.59,medium,1078
468477786.13,0.0,48,5,214377016.88,0.0,2,0,53.75,0.3465,1.2129,0.8815,0.7281,7,52.35,PowerPlant,Abia,917,0,8.05,medium,925
144651823.31,112650978.76,276,4,54422118.33,87.68,1,1,79.68,0.8057,1.5192,0.7306,0.619,6,18.68,Road,Oyo,411,0,2.79,medium,422
135279222.01,9475841.84,243,38,60530410.2,5.86,0,1,70.01,0.6226,0.8565,0.552,0.7508,2,8.02,PowerPlant,FCT,728,0,6.22,medium,750
260429504.83,14436792.23,378,20,99789072.78,4.85,3,0,75.63,0.675,2.0023,0.7204,0.9379,2,0.45,Bridge,Abia,652,0,2.58,medium,686
628602239.1,581330000.04,126,12,318800338.27,76.58,1,0,69.14,0.5846,2.4293,0.3927,0.6433,5,11.36,Bridge,Lagos,534,1,18.44,high,596
418314503.43,330393435.57,259,3,124610649.27,79.26,2,2,65.05,0.4956,1.22,0.6978,0.7774,4,26.79,Building,Delta,152,1,16.97,high,199
964549062.3,261335758.2,317,5,364441717.72,28.3,1,0,77.19,0.7419,1.776,0.8379,0.7431,4,17.78,PowerPlant,Edo,486,0,0.75,low,502
201383210.52,59121480.51,438,27,94684668.94,27.57,0,0,59.47,0.6749,0.0105,0.543,0.6707,5,7.38,Bridge,Abia,135,1,20.76,high,189
82027724.9,37405897.24,475,3,31446023.6,51.03,1,0,59.59,0.5982,1.41,0.9356,0.8906,7,9.26,Bridge,Oyo,696,0,1.56,low,712
1281994582.69,379849775.53,192,14,614856151.55,28.56,0,0,79.04,0.7852,1.0831,0.823,0.9582,7,8.68,Dam,Lagos,840,0,0.0,low,839
140072828.47,146964936.07,376,4,65868600.13,100.0,2,0,68.57,0.4272,0.0,0.694,0.7478,2,66.08,Pipeline,Kaduna,1060,0,4.92,medium,1049
722975070.68,428426061.53,311,6,200237384.64,54.15,4,2,51.98,0.6862,2.247,0.9862,0.8045,4,124.61,Dam,Oyo,686,0,5.22,medium,672
716217033.41,349380411.24,191,9,199341585.19,41.59,2,0,62.88,0.6245,1.6297,0.5917,0.9155,4,41.14,Railway,Lagos,471,0,15.6,high,492
482302455.15,474531599.94,102,7,240628826.44,89.72,0,0,71.21,0.4425,1.6623,0.8806,0.7765,5,9.17,Dam,Delta,348,0,7.32,medium,381
799355572.21,423067731.14,378,33,383890233.12,48.75,1,1,71.03,0.4849,0.0,0.572,0.6839,4,39.8,Bridge,Kaduna,363,0,7.82,high,371
684042705.66,607211892.1,586,34,198855657.62,79.19,3,0,84.13,0.5022,1.9992,0.583,0.6349,10,10.29,Dam,Kaduna,167,0,13.23,high,162
104465330.5,60570457.91,452,42,40284545.35,51.81,2,0,90.16,0.4406,2.5852,0.6472,0.7308,4,48.92,Bridge,Lagos,128,0,6.3,medium,150
199234731.0,181349686.69,201,7,56770612.66,100.0,2,1,61.73,0.7079,0.5777,0.742,0.8819,4,41.52,Railway,Abia,406,0,0.0,low,438
862243590.45,273555293.27,565,10,441934403.65,26.7,3,0,77.23,0.9785,0.0,0.6374,0.8644,5,13.04,Dam,Kano,475,0,6.02,medium,473
320320044.75,110339883.24,116,21,86625016.94,35.77,0,3,42.79,0.7624,0.1918,0.6627,0.7781,5,0.81,Road,Abia,233,0,12.81,high,262
63193248.05,9249583.24,233,22,23055123.19,12.57,2,0,69.63,0.6516,1.5513,0.8619,0.7977,2,84.55,Pipeline,Rivers,388,0,5.59,medium,378
151623664.18,55596391.93,321,17,54196652.88,34.15,0,1,83.73,0.3691,0.0,0.7355,0.8307,4,7.99,Dam,Delta,1017,0,8.18,medium,1007
477766493.76,497984745.17,112,22,257269967.18,89.11,4,0,71.07,0.4811,2.8067,0.7943,0.7278,3,99.62,Building,Delta,984,0,4.23,medium,1008
496271547.81,366518285.97,336,40,272068219.37,66.04,1,0,51.24,0.4208,2.9066,0.6951,0.832,6,8.19,Railway,Enugu,345,0,1.83,medium,358
457554609.08,243825602.32,260,14,184830339.52,58.96,3,0,69.95,0.5837,0.5498,0.6423,0.6826,3,9.54,Dam,Kaduna,666,0,1.72,medium,655
654357240.94,229203558.37,75,13,289635496.85,34.11,1,0,71.48,0.7131,0.0,0.6042,0.6629,5,5.19,Bridge,FCT,157,0,0.0,low,191
777229642.99,462176733.42,348,28,197713774.43,53.97,3,1,86.78,0.652,0.0876,0.8127,0.5871,3,29.41,Bridge,Enugu,411,0,5.79,medium,400
31287958.24,9332715.39,31,12,11729193.31,24.71,1,1,80.39,0.5399,1.2052,0.5044,0.6406,5,2.06,Railway,Oyo,237,1,25.75,high,265
290277443.5,75618624.62,177,14,140789252.72,18.81,4,0,69.17,0.474,1.9953,0.7168,0.7071,6,69.57,Dam,Oyo,858,1,25.11,high,882
510777302.3,171113133.89,28,21,163134086.93,30.28,0,1,62.38,0.7905,0.552,0.6035,0.7691,1,3.95,Building,Enugu,731,0,6.64,medium,734
623632775.96,385454009.34,227,11,312398023.92,67.03,3,1,55.86,0.6851,1.5693,0.7862,0.8737,7,101.95,PowerPlant,Lagos,1056,0,6.7,medium,1081
311731412.74,185289719.87,566,20,150457661.71,50.68,1,1,59.73,0.4152,1.1576,0.3389,0.8743,4,0.65,Dam,Enugu,878,1,20.08,high,905
373006442.65,375472928.91,97,3,197412623.75,100.0,2,0,86.64,0.7452,2.0369,0.8759,0.5855,2,20.53,Building,Abia,970,0,0.66,low,998
